일주,항목,내용,남자,여자,조건,결과,조건식
丙午,08,43 丙午 (丙10 己11 丁10)</br> 旺 육수(六秀) 일인(日刃) 교신성(交神星)</br></br>양간(陽干) 중 최고의 丙火가 양인(羊刃)을 놓았으니. 염상지상(炎上之像)이라. 대단히 권위적이면서도 호방하고. 개방적인 스타일로 사람 사귀기를 즐긴다. 저돌성이 있고 이상이 높다. 정오의 태양으로 가장 높은 자리에 있는 형상이니 독존(獨尊). 자기 식대로 살고. 낙천적인 기질을 함유한다. 丙午는 壬子를 도충(倒沖)하므로. 냉정한 면모를 보일때가 더러 있다. 합살(合殺)로 제어(制御)되어야 가하다. 현상에서는 직업이 있느냐. 없느냐로 그것을 가린다. 전자의 경우에는 문제가 없으나. 후자라면 가정도 모르는 무정(無情)함에 폭군(暴君)의 기질을 나타내게 된다.</br>힘차게 달리는 말의 상이니 앞으로 나아갈 줄만 알고 물러설 줄 모르는 기질이 있다. 속냉속열(速冷速熱)로 조급은 하나 뒤끝은 없으며. 상사에 직언도 서슴지 않는데. 거짓이 없는 대신 타인의 비밀을 지켜주지 못할 때가 있다. 매사 자신은 하늘을 찌르나 결실은 뜻과 같지 않은 아쉬움이 있다. 독선이 지나치면 적을 만들기 쉬우므로 수신(修身). 수양(修養)에 힘쓰라고 했다. ,일인(日刃)은 그 처(妻)가 사회활동을 해야 신액(身厄)을 면한다. 상관(傷官) 己土의 성분이 壬子나 戊午일과 같은 일인(日刃)과는 달라 처(妻)를 극심하게 극하는 성분이 덜하다.,곤명(坤命)은 지나치게 강한 기질로 인해 차라리 독신(獨身)이 제격이라 했다. 결혼하면 남편이 무능해지고. 심하면 몰락한다. 형제를 돕는 팔자고. 남편이 있어도 만족을 얻기 어려우며. 도화(桃花)의 기질이 드러나는데. 겉은 환하므로 요령 있게 잘 처리하는 편이라 엉큼하다는 소리를 듣겠다 ,,,
丙午,09,1. 교신(交神)은 자기가 하고 싶은 것만 하며. 천복(天福)은 자기 삶에 만족함을 시사한다.</br>2. 己土의 작용으로 고집이 대단한 가운데. 극한 상황에서는 타협하는 능력이 있다.,,3. 여명(女命)은 항상 말조심하라고 했다. 말이 씨가 되는 일이 종종 있다 ,,,
丙午,10,,男命은 적극적(積極的)으로 리드하는 형으로 상대의 애무(愛撫)를 요구하며 같이 즐거워야 만족하는 사람이다.,女命 역시 성욕이 강렬하다. 지나치게 밝히면 상대가 감당을 못하기도 하며 간혹 아무도 몰래 돈을 주고서도 욕구를 충족시키는 경우가 있다 ,,,
丙午,11,대개 건강체나 폐질(肺疾)과 비뇨기과(泌尿器科)에 출입하는 경우가 있다. 소장. 당뇨. 고혈압. 신경통. 심장마비. 뇌일혈 등을 주의해야 하고. 탕화(湯火)로 인한 화재나 화상의 가능성도 있다.</br>丙: 소장(小腸). 어깨</br>午: 정신. 심장(心腸). 눈 ,,,,,
丙午,12,상관(傷官). 양인(羊刃)의 영향으로 군경(軍警). 의료계. 법조계. 교육. 학계 등으로 진출하여 인연을 맺고. 아니면 해외출입에 재정이나 외국상사. 외국환은행 등에 근무하는 경우가 있다,,,,,
丙午,13,◈ 일주론 해석 - 병오 (丙午)일주 </br></br>병오일생은 겁재왕궁으로 비견과 상관이 또한 장성에 듭니다. 정오의 태양으로 가장 높은 자리에 있는 형상이니 독존의 자기 식대로 살고 낙천적인 기질을 함유합니다.</br>상관장성은 말조심을 할 필요가 있습니다. 말이 씨가 되는 일이 종종 있기 때문입니다. 상관 기토는 건록에 좌하므로 상대의 마음을 깊이 헤아리는 면모도 있습니다. 이 사람은 상사에 직언도 서슴지 않는데 이는 상관이 제왕을 얻은 까닭입니다.</br>관살 임계는 각각 태지와 절지에 놓입니다. 까닭에 관운은 크게 발하지 않으므로 매사 자신은 하늘을 찌르나 결실은  뜻과 같지 않은 아쉬움이 있습니다.,남명의 경우 상관이 힘을 얻어 여타의 일인 일주들과 달리 처를 극하기보다는 마음을 쏟는 경향이 있습니다. 재성은 도화나 역마로 인종돼 이 사람의 처는 활동적이거나 활발한 기운이 있다고 판단합니다. 보통 자식의 덕은 기대에 미치지 못하는 편입니다. 관살이 태지와 절지로 인종되기 때문이죠.,여성은 지나치게 강한 기질로 인해 차라리 독신이 제격이라 했습니다. 결혼하면 대개 남편이 무능해지고. 심하면 몰락하는 경우가 있습니다. 형제를 돕는 팔자고 남편이 있어도 만족을 얻기 어려우며 다툼과 갈등의 소지가 있습니다. 태지에 좌하는 부성과 왕지에 놓인 일원의 관계가 그런 겁니다,팔자에 정재 신금이 투하면. ,기가 왕하므로 만인을 지도하고 거느릴 봉사자로서의 역할을 명받았는데 팔자에 정재 신금이 투하면 오화에서 역마로 인종돼 성공을 이끕니다. ,if (sj_ganji.includes('辛')){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
丙午,13a,,,,경금을 오화에 인종하면. ,욕지에 놓이므로 재운이 약한 것으로 판단합니다.,if (ilj === lsts[i][0]){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
丙午,13b,,,,팔자에 인수 을목을 보면. ,오화에서 장생으로 인종돼 학업에 두각을 드러내는 것으로 판단합니다. ,if (sj_ganji.includes('乙')){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
丙午,13c,,,,팔자에 인수가 없으면. ,오행포태를 적용해서 갑목이 사지로 인종되기에 학업이 부진하고 모친과의 인연도 깊지 않을 때가 많습니다.,if (sj_ganji.includes('乙')){}else{ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
丁未,01,매사에 적극적인 행동력을 지니고 있고. 적극적인 사고를 가지고 행동하는 성품의 소유자입니다. 고로 세속적인 일에도 성공을 이루는 사람이 많습니다. 단. 표현 방식에 있어서는 적극성이 다소 부족하므로 성격적으로는 강렬한 인상을 주지 못하는 단점이 있습니다. 그러나 남모르는 노력을 이루어 적극적인 표현을 하는 사람들보다 더 많은 것을 성취하는 운입니다. 표현 방식에 있어 이랬다저랬다 하거나 다혈질적이고 변덕이 있는 성품으로 보여 질수 있으니 행동에 있어 변덕을 부리는 것이 아니게 보이도록 노력 해야 합니다. ,,,팔자에 수가 부족한 경우. ,변덕이나. 쉽게 흥분하고 식는 성향이 더 강해지므로 주의하여야 합니다,if (nr_oh5<2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
丁未,02,여러 가지 형태로 부모와의 관계가 이룩되는 운에 모친 인연이 짧던지. 모친이 유병하여 고통을 겪는 경우가 많습니다. 자식운은 순조로운 편입니다.  ,남자의 경우 성혼이 늦거나 배우자를 극하여 그로 인하여 고통을 당하는 경우가 많습니다. ,여자의 경우 또한 배필을 극하여 인연이 좋지 못하는 경우가 많고 특히 자식이 나면 우환 곡절을 당하는 경우가 많습니다. ,팔자에 화가 거듭 있으면. ,부친과의 인연이 짧을 수도 있습니다. ,if (ilj === lsts[i][0]){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
丁未,02a,,,,여름에 나고. 팔자에 수가 부족하면. ,자식이 드물 수도 있습니다,if ((sj_mj==='巳' || sj_mj==='午' || sj_mj==='未') && nr_oh5<2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
丁未,03,기본적으로 두뇌가 총명하고 눈치가 빠르므로 소년 공부길 다재다능의 능력을 보이게 됩니다. 단 두뇌가 인내 노력 보다 앞서므로. 세월이 흐르면서 실력에 발전이 더디거나 저조한 실력을 발휘하게 됩니다. 타인과의 경쟁심으로 자존심을 유지하는 것은 가능한 그릇입니다. 일찍부터 학문적인 능력을 발휘하지만 두뇌에 의존하는 공부로 시간이 지날수록 실력 발휘가 저조한 수가 많습니다. ,성공의 전공길로 남자는 의.약학. 공학. 상과. 전문기술. 스포츠. 예능 등이 좋습니다. ,성공의 전공길로 여자는 예능. 어학. 의.약학. 전문기술 등이 길합니다. ,팔자에 수부족으로 조열한 경우는. ,해외 학위를 이룩하면 실력 발달 이루어지기도 합니다,if (ilj === lsts[i][0]){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
丁未,04,식신은 융통성의 별이요. 이성에 대한 관심의 별이지만 왕성한 관심에 비해서는 연애 성사가 적을 운입니다. 한 번 집착하면 계속 쫓아가서 일을 이루어내는 운이라 애정 때문에 젊음을 낭비하는 경우가 많습니다. 또한 도덕성이나 행동상의 절제력이 약할 수 있으며. 부모와 배우자 결정에 있어서 갈등이 지나는 경우가 많고 연애에 의한 결혼에도 방해를 많이 받으므로 정신적인 치우침에서 결혼이 이루어지거나 부모 뜻에 의한 불만의 결혼도 많습니다. ,좋은 배필 인연으로 남자는 토끼띠. 말띠. 양띠. 원숭이띠. 닭띠. 돼지띠 여자가 됩니다. </br>남자의 경우 처로 인한 고통에 빠지는 수가 많습니다 ,좋은 배필 인연으로 여자의 경우는 쥐띠. 범띠. 토끼띠. 용띠. 말띠. 양띠. 닭띠. 돼지띠 남자가 됩니다. </br>여자는 자식이 온 뒤에 배우자와의 갈등이 지나는 경우가 많습니다 ,,,
丁未,05,조직 직장이나 사업길 모두 가능한데 기본적인 성향은 자기 사업에 가깝습니다. 그러나 음간의 수동성 때문에 조직 직장길 인연하여도 꾸준한 실력자로 발전합니다. 조직 직장길에는 해양. 수산. 해운. 전문기술 등이 좋고. 사업길에는 전문 기술 사업 또는 자격사업 중에서 금속. 기계관련 등이 가장 많습니다.  재물 활동의 창구가 정직한 방법. 수단을 의미하므로 투기적인 성향보다 정당한 사업에 인연이 많습니다,,,팔자에 수목이 있으면. ,조직 직장길 에서도 얼마든지 성공을 이루며 살 수 있습니다. ,if (nr_oh5>0 && nr_oh1>0){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
丁未,05a,,,,팔자에 수가 부족하고 목이 약하면. ,전문 자격증의 사업 (변호사. 의사. 기술사. 회계사 등)에 종사하는 운입니다. ,if (nr_oh5<2 && nr_oh1<2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
丁未,06,재물 활동에 연속적인 활동이 가능한데 미는 뜨거운 여름을 의미하므로. 밥그릇 으로서의 역할을 잘 하지 못하는 경우가 많습니다. 융통성에 있어서 사람은 똑똑하더라도 일에는 부족한 경우가 많습니다. 고로 그러한 성격 때문에 성공도. 실패도 지나는 수가 많습니다. 항상 기본적인 명랑성을 지니고 있으므로 어려움이 오더라도 잘 견디어 내는 힘이 있습니다,,,,,
丁未,07,전봇대 위로 솟은 달 이니 앞길을 밝히는 형상으로 유쾌하고 활발하며. 희생심이 있어 곧잘 베푸는 성품을 지닙니다.  정미는 자의로 볼 때 짚어서 그러모으는모습으로 소유욕과 독립심이 강합니다. 그래서인지 이 사람은 돈을 자신이 직접 관리하며 여간해서 제 몫을 빼앗기는 법이 없습니다. 현침이 암장되어 기예 방면에 소질이 있는 사람입니다. 또 화가 나면 포악한 기질을 드러내는 속성을 뜻하기도 합니다,,,,,
丁未,08,44 丁未 (丁9 乙3 己18)</br>帶 육수(六秀) 암록(暗祿) 퇴신(退神) 장군전(將軍箭)</br></br>도량이 넓고. 희생정신이 강하여 베풀지만. 음성이 크고 탁한 편으로 간혹 오해를 받는 수가 있다. 똑똑하고 기질이 강해 자기 몫을 빼앗기는 법이 없다. 소유욕이 강하고 독립심이 있다. 일지 식신(食神)과 편인(偏印)의 내재는 언변이 뛰어나고 일의 계획성과 추진력은 탁월하나 재성의 부재로 인해 일의 성과나 재정적인 성취는 보기 어렵다. 丁丑 일주(日柱)가 약간 시끄럽고 분주하다면. 丁未는 차분하고 쓸데없이 뇌화부동하고 분주한 것을 싫어한다. 현침(懸針)은 기예(技藝) 방면에 소질이 있음을 암시한다.</br>癸丑의 기(氣)가 작동하면. 의외로 거칠고 반항적인 성격이 나타나며 이기적이고 심술궂은 성질이 나타난다. 인정도 많고 착하지만 조급하고 폭발적인 성격에 즉흥적으로 일을 처리하는 일면이 있다. 신체적으로 다치기 쉬우므로 주위를 불안하게도 한다.戊午 일주(日柱)와 丁未는 정력(精力)이 절륜(絶倫)하여 여자관계가 복잡한 것은 도리가 없다. 음욕(淫慾)으로 정욕(情欲)이 지나치게 강하니 발산(發散)하도록 놓아두어야 한다. 부부궁(夫婦宮)이 좋을 리 없다.,,여명(女命)은 본남편과 해로(偕老)하기 어렵다. 깔끔하고 총명하며 손재주도 많은 현모양처(賢母良妻) 감이나 자식. 남편 복도 없이 무엇이든 해야 하니 기박한 운명이다. 성격이 급하고 좋은 말도 화난 듯 들리는 특징이 있다. 강한 수기(水氣)만 갖춘다면 복명(福命)이 되기 쉽다. ,,,
丁未,09,1. 명랑한 성격에 달변이고. 그 고집은 꺾을 자가 없다.,2. 처가(妻家) 집을 잘 돌보고. 돈은 자신이 직접 관리하며 처(妻)에게는 생활비만 준다.,3. 살림이 알뜰한 양처(良妻) 감인데. 부덕(夫德)이 없으니 한이 많아 눈물짓는다. ,,,
丁未,10,,男命은 정력이 절륜하고 정욕이 상대를 자주 바꾸는 타입으로 하나의 상대로는 만족하지 못한다.,女命 또한 호기심이 강하고 성욕이 강한 편이지만. 자기 마음에만 들면 목숨을 걸고라도 지키려는 성향이 있다 ,,,
丁未,11,혈압에 주의해야 하고. 심장. 소화기 질환. 위장병. 뇌일혈. 비만증. 권태증. 건망증 등을 앓기 쉽다. 드물게 철사관(鐵蛇關)으로 인해 희귀병을 앓는 수가 있다.</br>丁: 심장(心腸)</br>未: 위장(胃腸). 명치. 척추 ,,여성의 경우 빈혈(貧血)로 고생을 하고. 명치가 자주 아프고 허리에 질병이 생길 수 있다. ,,,
丁未,12,교육. 군인 아니면 직업적인 신앙인으로 종교계의 내막을 종교인보다 더 잘 아는 경우가 있다. 사업은 육영. 식품. 기능. 예능. 전자. IT. 가공업. 요식업 등이 좋으나 큰 재복(財福)은 없으므로 욕심을 줄이는게 현명하다,,,,,
丁未,13,◈ 일주론 해석 - 丁未 (정미) 일주</br></br>정미일생은 식신대궁으로 비견과 인수가 또한 월살에 듭니다. 명랑한 성격에 달변이고 고집은 꺽을 자가 없을 정도입니다.</br>인비식의 정신기 삼자를 다 갖추어 이 사람은 도량이 넓고 베푸는 기질이 있습니다. 어려움을 당해도 밝게 잘 견뎌내는 힘이 있습니다.</br>식신 관대로 소유욕이 강하고 독립심이 있으며 추진력이 있습니다.</br>조열한 기세로 간혹 쉽게 흥분하고 식는 성향이 있는데 좋은 말을 해도 화난 듯 들리는 경우가 있습니다.</br>인정도 많고 착하지만 조급하고 폭발적인 성격에 즉흥적으로 일을 처리하는 일면을 지닙니다.</br>정미일생은 팔자에 수기를 잘 갖추어야 복명이 됩니다. 수기가 없으면 절제가 되지 않습니다.</br>현침의 자형은 기예 방면의 소질을 암시하고 또 종교성을 품습니다.</br>정미일생의 재성 경금과 신금은 각각 대지와 반안에 종하여 부친은 유력한 기운이 있습니다. 또 재운도 따른다고 봐야 합니다.</br>인수 을목은 양지에 좌해 관대와 함께 환자의 물상을 짓습니다. 또 인수고지를 깔았기 때문에 모친이 병으로 고통을 겪을 우려가 있습니다.</br>속설에 무오일생과 정미일생은 정력이 절륜하여 이성관계가 복잡한 것은 도리가 없다는 말이 있습니다. 그래서 부부궁이 건전하기 어렵다는 판단이 우세합니다.</br>반면 식신이 유기하여 처갓집을 잘 돌본다는 암시도 있습니다. 여성은 보통 살림은 알뜰한 현모양처의 유형이 많습니다. 일단 자식궁이 괜찮습니다. 다만 관살 임수와 계수는 일지 미토에 양지와 화개로 인종됩니다. 전자는 자신이 부양해야 하고. 후자는 무력함을 뜻합니다. 그래서 일반적인 부덕에는 미치지 못합니다.</br>자녀를 출산하면 한때 배필을 극하여 남편이 곡절을 겪기 쉽습니다.</br>암장된 정화와는 임수 정관을 두고 다툰다는 의미가 있습니다,,,,,
戊申,01,산에서 오곡백과가 영그는 모양으로 평생 식록이 있고. 의식주도 원만할 것을 의미합니다.  재물을 만들 수 있는 재주. 재능을 타고난 것으로 보아도 좋습니다.  명예 보다는 재물인연이 많은 모양입니다.  재물을 만드는 융통성과 활동력이 있으며. 해외 출입 또는 객지성공 인연이 있음을 의미합니다. 또한 두뇌가 비상하고 학문도 있을 것을 의미합니다. ,,,팔자에 화나 토가 부족하면. ,건강이 좋았다. 나빴다 하는 수가 있습니다.  ,if (nr_oh2<2 || nr_oh3<2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
戊申,01a,,,,팔자에 해. 자 수가 있으면. ,평생 재물 활동이 있고. 부자로 살 것을 의미합니다.  ,if (sj_ganji.includes('亥') || sj_ganji.includes('子')){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
戊申,01b,,,,팔자에 수가 있으면. ,평생 사회 활동. 재물 활동에서 원만하게 성공을 이루어 내는 형입니다,if (nr_oh5>0){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
戊申,02,재물의 뿌리가 되고 부친과 상통하는 별이 있어. 부친 인연이나  부친 덕이 있을 것을 의미합니다. 하지만 모친의 건강이 나쁘거나. 모친과의 인연이 짧을 경우가 많습니다. ,처와 상통하는 별이 있어 좋은 배필을 만날 것을 의미합니다. 장모 인연 또한 좋은 편에. 장모나 처와 유정할 것을 의미합니다. 남자의 경우 대체로 딸이 많습니다. ,여자의 경우 재물의 혜택이나 좋은 자식을 의미하지만.  자식이 나고 나면 배필과 무정하여 지는 수가 많습니다.  남편으로 인하여 경제적 혜택은 있더라도 결국은 인연이 나빠지는 운입니다. 여자는 아들이 많습니다. 또 크게 되는 자식이 옴을 의미합니다,,,
戊申,03,두뇌 총명의 별이 있어 학문 발휘가 빠를 것을 의미합니다. 대체로 두뇌 공부에 의존하여 소년 학문이 현달 하더라도.  세월이 지나면서 성적이 저조 하여지는 모양이라 긴 공부. 큰 시험에는 좋은 성적을 거두기 힘듭니다. 또한 좋은 학교 인연도 힘들 것을 의미합니다,성공의 전공길 남자는 상과. 공학. 의.약학. 교육. 스포츠 등이 좋습니다. ,성공의 전공길 여자는 어학. 예능. 스포츠. 문학. 교육. 신문 방송 등이 좋습니다. ,팔자에 화가 부족하면. ,인내 노력이 부족하여. 고학년이 될수록 성적이 저조하여 짐을 의미합니다. ,if (nr_oh2<2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
戊申,04,남자의 경우는 여자와의 인연.  여자는 자신의 표현력이 되므로 소년부터 이성에 대한 관심이나 이성 인연이 올 수 있습니다. 남자는 대체로 좋은 인연이 올 것을 의미하고. 여자는 남자의 관심을 부르므로 여러 인연이 오지만 남자를 무시하는 경향 때문에 좋은 남자를 고르는데 애로를 겪는 수가 있습니다. 모친의 말을 잘 듣지 않는 형이라 부모와의 갈등이 지나는 수가 있습니다. ,남자는 대체로 처나 장모와 유정한 모양이라 장모 동거가 올수도 있습니다.</br>좋은 배필 인연으로 남자는 쥐띠. 소띠. 용띠. 뱀띠. 양띠. 원숭이띠. 돼지띠 여자가 좋은 인연이 됩니다. ,좋은 배필 인연으로 여자는 쥐띠. 소띠. 토끼띠. 용띠. 뱀띠. 양띠. 원숭이띠. 돼지띠 남자가 좋은 인연이 됩니다. </br>결혼이후 여자의 경우 자식이 나면 배필에 고통을 주는 모양이 되므로 자식이 장성하면서 배필에 우환 고통을 겪는 수가 많습니다,,,
戊申,05,재물을 만드는 왕성한 활동력이 있어 조직. 직장길보다 자기사업 인연이 더 강한 모양입니다. 조직 직장길은 전문기술 분야 . 교육.  육영. 운수. 역마관련 분야가 좋고. 자기 사업길은 식품. 금속. 기계. 제조. 통상. 운수. 해운. 교육. 전문기술 사업. 등이 좋습니다. 왕성한 활동력에 의한 재물 활동으로 투기적인 사업. 생산적인 사업. 모두에서 능력을 발휘하게 됩니다,,,팔자에 목의 글자가 있으면. ,전문직 또는 특수직으로 조직 직장길 인연이 쉽습니다. ,if (nr_oh1>0){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
戊申,05a,,,,해. 자 의 글자가 있으면. ,기술. 제조. 생산업 등에 인연 합니다. ,if (sj_ganji.includes('亥') || sj_ganji.includes('子')){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
戊申,06,천연 과실을 가지고 잇는 모양이라.  평생 식록이 풍부하고 재물 활동도 왕성합니다. 만인에게 베풀기를 좋아하고. 만인에 대한 동정심도 많은 모양입니다.  ,남자의 경우 처와의 인연이 깊습니다. ,여자는 자식이 나고 나면 배필의 우환 곡절을 겪는 경우가 많습니다. ,어느 해고. 인의 글자가 들어오면. ,어느 해고. 인의 글자가 들어오면 남녀 공히 처자 재물에 고통이 올 것을 의미합니다,if (hn_yj === '寅' || hn_mj === '寅'){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
戊申,07,광산이자 천주로 이 사람은 대략 복록이 두텁고 행운이 따르는 편입니다.  경에 이르길 암록이라 해서 재물에 궁함이 없고 숨은 은덕이 있다고 했습니다. ,남자는 현처를 맞이하여 처덕이 두텁고 애정이 좋으며 부모의 유업을 이어받는 것도 순탄합니다. ,여성도 또한 식록이 여의하며 활동하게 되면 치부하게 되는 경우가 많습니다.  그러나추산과 서산에는 쓸쓸한 기운이 감도니 남편의 외유나 외도 등의 연유로 독수공방하는 일이 잦습니다. 요통이나 담석. 요석 등의 결석으로 편치 않을 수가 있습니다,,,
戊申,08,45 戊申 (戊7 壬7 庚14)</br>病 천주귀인(天廚貴人) 복성귀인(福星貴人) 암록(暗祿) 고란과숙(孤鸞寡宿)</br></br>복록(福祿)이 두텁고 행운이 잘 따른다. 남에게 주는 걸 좋아하나 자신도 모르게 남에게 해를 끼치는 경우가 있다. 공치사를 잘하며 남의 일에 참견하기 좋아하고 남보다 앞질러 생각하여 간혹 오해를 받는다. 일지(日支) 역마(驛馬)와 편재(偏財)로 분주다사(分奏多事)에 해외출입하며 모선망(母先亡)일 경우가 많다. 식신생재(食神生財)는 재운(財運)이 길함을 뜻하고. 식복(食福)이 따르는 명주(命主)로 잘하면 거부(巨富)가 된다.</br>자신이 틀려도 남의 충고는 받아들이지 않는 공연한 고집이 있기도 하며. 현침(懸針)은 남녀 공히 배우자를 극(剋)하는 기질을 암시한다. ,암록(暗綠)은 천우신조(天佑神助)를 의미하고. 현처(賢妻)를 맞이하니 처덕(妻德)이 두터운 편이고 애정이 좋은 반면 외도(外道)도 있어 본다. 부모의 유업(遺業)도 양호한 상이다.,곤명(坤命)도 식록(食祿)이 풍부하고 별 걱정 없이 부자로 좋은 집에서 잘 사는 유형이 많다. 남편 궁에 애로가 발생하면 자신이 사업가로 요식업이나 많은 사람들 상대하는 직업. 숙박업 등으로 치부(致富)하게 된다. 대개 딸이 많고 아들은 적으며 남편보다는 자식을 위해 노력하고 희생하는 경우가 많다. 고란(孤鸞)이 있어 부부간 애정에 금이 가고. 남편의 외유(外遊). 외도(外道) 등으로 독수공방(獨守空房)한다. 남편에게 잘 한다고 하나. 거리가 있는 것은 부인의 불감증(不感症)에 기인하는 경우가 종종 있다 ,,,
戊申,09,1. 외식(外食)을 즐기고. 중매(仲媒)에도 일가견이 있으며 큰돈 한번 만져본다.</br>2. 중년 이후 요통(腰痛)이나. 담석(膽石). 요석(尿石) 등의  결석(結石)으로 편치 않다.</br>3. 사회사업이나 육영사업을 하는 것이 꿈이고. 항시 자식 걱정이다 ,,,,,
戊申,10,,男命은 호색(好色)하고. 자기기분대로 처리하는 경우가 많다. 간혹 생각만 많고 본인의 뜻대로 되지않을때가 있다.,女命은 상대와 동조(同調)하는 형으로 담백하게 대응하는 형이다. 본인도 모르는 불감증(不感症)이 있는 경우가 있다. ,,,
戊申,11,신경과민. 위장질환. 고혈압 등의 질환을 겪기 쉬우며 요통. 풍질. 결석 등으로 하루도 편치 않을 때가 있다. 유산소 운동으로 심신의 활력을 제고함이 최선이다.</br>戊: 위(胃). 갈비</br>申: 폐(폐). 대장(大腸). 경락 ,,,,,
戊申,12,식품가공. 운수. 수산업 등에서 성공하고 군경(軍警). 검찰. 공무원. 교육. 재정. 외국기관도 가하다. 가을의 서산(西山)은 쓸쓸한 상이니 신앙에 깊이 빠지는 경우도 있다. 산에 철금속에 묻힌 상이니 철재. 철물 등과도 인연이 있다.,,,,,
戊申,13,◈ 일주론 해석 - 무신 (戊申)일주 </br></br>무신일생은 식신 병궁으로 비견과 재성이 또한 역마에 듭니다. 비식재의 역마에 암록으로 무신일생은 대개 복록이 두텁고 행운이 잘 따르는 편입니다. 이런 유형은 외식을 즐기고 중매도 일가견이 있으며 큰돈과 인연이 있습니다. 식신과 재성이 생록에 좌해 힘을 얻으니 재운은 타고 난 것으로 보는 겁니다.  만인에게 베풀기를 좋아하고 동정심도 있습니다.</br>정화 인수는 욕지에 인종하여 모친과는 인연이 짧은 경우가 많습니다. 보통 큰 시험에서는 낭패를 보기 쉽습니다.  </br>부친의 덕은 봅니다. 그래서 명예보다는 재물이 우선하고. 분주다사한 가운데 식신생재의 재복을 발합니다. 팔자의 격이 좋으면 거부를 말할 수 있습니다.</br>관살은 포태지로 인종됩니다. 그래서 남의 충고는 잘 받아들이지 않는 고집이 있습니다.</br>신금의 현침이 병궁에 들면 중년에 요통이나. 담석. 요석 등의 결석으로 편치 않을 형편을 암시합니다.,남명은 처와 장모 모두 유정한 기운이 감돌아 좋은 인연을 맺을 가능성이 높습니다. 식재동림은 장모를 봉양하는 유형으로 봅니다. 부부관계가 원만해도 외도는 피하기 어렵습니다. 또 부친의 유업도 양호한 상입니다. 다만 자식은 기대에 미치지 못할 때가 많습니다.,여성도 식록이 풍부하고 대체로 부자가 많습니다. 남편이 부진하면 자신이 직접 사업가로 나서 요식업이나 많은 사람들 상대하는 직업으로 치부하게 됩니다. 자녀는 건실합니다. 다만 관이 무력하여 배필과는 무정해질 공산이 큽니다. </br>천고성은 고독의 별로 속세의 성공과 별개로 가정의 적막함을 암시하는 성분입니다. 팔자에 진토의 월살과 합작하면 신앙심이 깊어집니다,여명은 팔자에 인목이 있으면. ,출산하면서 배우자가 무력해지는 경우가 곧 잘 있습니다.,if (gendr === '여음' && sj_ganji.includes('寅')){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
己酉,01,의식주가 넉넉한 가을의 기운과 그 뜻이 통하므로. 평생 식록이 있고. 의식이 넉넉함을 의미합니다.  재물 인연 또한 깊고. 수명. 건강 모두 무난할 것을 의미합니다.  대체로 마음이 명랑하고 온후한 편이며. 평소에 베풀기를 좋아하고 엉뚱한 소득을 기대하지 않으므로 만인에게 사랑을 받는 모양입니다. ,남자의 경우는 명예. 벼슬과 인연이 약하여 고통이 따르는 수도 있습니다.  ,여자는 남편 인연이 약하여 고통이 따르는 수도 있습니다.  여자의 경우는 자식에 대한 집착이 강하여 배필과 갈등을 겪는 경우도 있습니다. ,팔자에 자의 글자가 있으면. ,평생 부자로 살 운입니다. ,if (sj_ganji.includes('子')){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
己酉,01a,,,,묘의 글자가 있으면. ,의식이 깨지는 모양이라. 의식에 애로를 받는 경우가 많습니다. ,if (sj_ganji.includes('卯')){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
己酉,02,대체로 부친 인연이 강하고 모친 인연이 약할 운입니다. 특히 결혼 전후하여 배우자가 생길 때면 모친 건강이 부실하여 근심이 되는 수도 있습니다. ,남자의 경우는 배필 인연이 원만합니다.  자식운 남자는 딸이 많고 아들이 적은 편입니다. ,여자는 자식이 나고 나면 배필을 밀어내는 모양이라 고통이 올수도 있습니다.  자식운 여자는 아들이 많고 딸이 적은 편입니다.  여자의 경우 아들이 큰자식이 나는 운입니다,,,
